,Time,Receiving team,Score,Guest team,Week,Date
115,22:01,Difaa Hassani El Jadidi,1 : 0,Hassania Union Sport Agadir,Week # 15,Saturday 8 May 2021
116,22:01,Rapide Oued Zem,3 : 2,Renaissance Zemamra,Week # 15,Saturday 8 May 2021
117,22:00,Raja Club Athletic,1 : 0,Maghreb de Fes,Week # 15,Sunday 9 May 2021
118,22:00,FAR Rabat,0 : 0,Wydad Athletic Club,Week # 15,Sunday 9 May 2021
119,21:59,Renaissance de Berkane,1 : 1,Moghreb Tetouan,Week # 15,Sunday 9 May 2021
120,22:01,Ittihad Tanger,1 : 1,Hassania Union Sport Agadir,Week # 16,Tuesday 11 May 2021
121,22:01,Mouloudia Oujda,0 : 0,Rapide Oued Zem,Week # 16,Tuesday 11 May 2021
122,21:58,Difaa Hassani El Jadidi,0 : 1,Olympique Club de Safi,Week # 16,Tuesday 11 May 2021
123,22:04,Raja Club Athletic,1 : 1,Fath Union Sport de Rabat,Week # 16,Wednesday 12 May 2021
124,22:02,Chabab Mohammedia,0 : 0,Moghreb Tetouan,Week # 16,Wednesday 12 May 2021
125,22:02,FAR Rabat,3 : 2,Maghreb de Fes,Week # 16,Wednesday 12 May 2021
126,22:01,Renaissance de Berkane,2 : 0,Renaissance Zemamra,Week # 16,Wednesday 12 May 2021
127,17:00,Olympique Club de Safi,1 : 1,Ittihad Tanger,Week # 17,Saturday 15 May 2021
128,17:02,Renaissance Zemamra,1 : 1,Chabab Mohammedia,Week # 17,Saturday 15 May 2021
129,19:15,Moghreb Tetouan,0 : 0,FAR Rabat,Week # 17,Saturday 15 May 2021
130,17:06,Fath Union Sport de Rabat,0 : 3,Mouloudia Oujda,Week # 17,Sunday 16 May 2021
131,19:22,Maghreb de Fes,2 : 0,Renaissance de Berkane,Week # 17,Sunday 16 May 2021
132,21:33,Hassania Union Sport Agadir,2 : 1,Youssoufia Berrechid,Week # 17,Sunday 16 May 2021
133,19:17,Difaa Hassani El Jadidi,2 : 2,Moghreb Tetouan,Week # 18,Tuesday 18 May 2021
134,21:55,Wydad Athletic Club,3 : 1,Olympique Club de Safi,Week # 18,Tuesday 18 May 2021
135,17:04,Youssoufia Berrechid,1 : 1,Maghreb de Fes,Week # 18,Wednesday 19 May 2021
136,19:15,Chabab Mohammedia,0 : 0,Hassania Union Sport Agadir,Week # 18,Wednesday 19 May 2021
137,21:30,Renaissance de Berkane,0 : 0,Rapide Oued Zem,Week # 18,Wednesday 19 May 2021
138,17:04,Ittihad Tanger,1 : 2,Fath Union Sport de Rabat,Week # 18,Thursday 20 May 2021
139,19:19,Mouloudia Oujda,0 : 2,Raja Club Athletic,Week # 18,Thursday 20 May 2021
140,21:32,FAR Rabat,2 : 1,Renaissance Zemamra,Week # 18,Thursday 20 May 2021
141,17:02,Maghreb de Fes,1 : 3,Difaa Hassani El Jadidi,Week # 19,Saturday 22 May 2021
142,19:23,Rapide Oued Zem,3 : 2,Chabab Mohammedia,Week # 19,Saturday 22 May 2021
143,21:30,Olympique Club de Safi,1 : 1,Youssoufia Berrechid,Week # 19,Saturday 22 May 2021
144,16:59,Fath Union Sport de Rabat,2 : 1,FAR Rabat,Week # 19,Sunday 23 May 2021
145,19:17,Renaissance Zemamra,3 : 4,Mouloudia Oujda,Week # 19,Sunday 23 May 2021
146,21:34,Moghreb Tetouan,1 : 0,Ittihad Tanger,Week # 19,Sunday 23 May 2021
147,21:30,Olympique Club de Safi,1 : 0,Hassania Union Sport Agadir,Week # 20,Tuesday 25 May 2021
