,Time,Receiving team,Score,Guest team,Week,Date
153,20:31,Youssoufia Berrechid,0 : 0,Maghreb de Fes,Week # 20,Friday 4 March 2022
154,16:03,Mouloudia Oujda,0 : 0,Hassania Union Sport Agadir,Week # 20,Saturday 5 March 2022
155,16:00,Fath Union Sport de Rabat,2 : 1,FAR Rabat,Week # 20,Saturday 5 March 2022
156,18:17,Wydad Athletic Club,2 : 1,Chabab Mohammedia,Week # 20,Saturday 5 March 2022
157,16:00,Difaa Hassani El Jadidi,0 : 0,Olympique Club De Khouribga,Week # 20,Sunday 6 March 2022
158,18:17,Ittihad Tanger,2 : 1,JSS Jeunesse Sportive Soualem,Week # 20,Sunday 6 March 2022
159,20:29,Renaissance de Berkane,1 : 2,Raja Club Athletic,Week # 20,Sunday 6 March 2022
160,22:04,FAR Rabat,4 : 1,Ittihad Tanger,Week # 21,Friday 15 April 2022
161,22:04,Hassania Union Sport Agadir,2 : 1,Fath Union Sport de Rabat,Week # 21,Saturday 16 April 2022
162,22:00,Maghreb de Fes,1 : 1,Rapide Oued Zem,Week # 21,Saturday 16 April 2022
163,22:08,JSS Jeunesse Sportive Soualem,2 : 0,Difaa Hassani El Jadidi,Week # 21,Sunday 17 April 2022
164,22:02,Chabab Mohammedia,2 : 0,Youssoufia Berrechid,Week # 21,Sunday 17 April 2022
165,22:01,Mouloudia Oujda,2 : 3,Ittihad Tanger,Week # 21,Friday 22 April 2022
166,22:00,Chabab Mohammedia,0 : 1,Olympique Club de Safi,Week # 21,Saturday 23 April 2022
167,22:01,Youssoufia Berrechid,0 : 1,Hassania Union Sport Agadir,Week # 21,Saturday 23 April 2022
168,22:01,Rapide Oued Zem,1 : 2,Olympique Club De Khouribga,Week # 22,Sunday 24 April 2022
169,22:00,Difaa Hassani El Jadidi,0 : 0,Maghreb de Fes,Week # 22,Sunday 24 April 2022
170,22:04,Raja Club Athletic,2 : 0,Mouloudia Oujda,Week # 22,Monday 25 April 2022
171,22:03,Olympique Club de Safi,0 : 1,Wydad Athletic Club,Week # 22,Tuesday 26 April 2022
172,22:00,Olympique Club De Khouribga,1 : 0,Renaissance de Berkane,Week # 22,Wednesday 27 April 2022
173,22:02,Fath Union Sport de Rabat,0 : 1,Raja Club Athletic,Week # 22,Thursday 28 April 2022
174,22:04,Wydad Athletic Club,3 : 0,FAR Rabat,Week # 22,Friday 29 April 2022
175,22:05,Renaissance de Berkane,4 : 3,JSS Jeunesse Sportive Soualem,Week # 22,Saturday 30 April 2022
176,20:34,Raja Club Athletic,2 : 0,Difaa Hassani El Jadidi,Week # 23,Friday 6 May 2022
177,16:01,FAR Rabat,3 : 1,Rapide Oued Zem,Week # 23,Saturday 7 May 2022
178,18:15,Olympique Club de Safi,3 : 2,Youssoufia Berrechid,Week # 23,Saturday 7 May 2022
179,16:03,Hassania Union Sport Agadir,0 : 1,Chabab Mohammedia,Week # 23,Sunday 8 May 2022
180,18:16,Olympique Club De Khouribga,1 : 1,Fath Union Sport de Rabat,Week # 23,Sunday 8 May 2022
181,20:29,JSS Jeunesse Sportive Soualem,0 : 0,Mouloudia Oujda,Week # 23,Sunday 8 May 2022
182,18:04,Fath Union Sport de Rabat,1 : 0,JSS Jeunesse Sportive Soualem,Week # 23,Friday 13 May 2022
183,16:03,Rapide Oued Zem,1 : 0,Raja Club Athletic,Week # 23,Sunday 15 May 2022
184,18:16,Chabab Mohammedia,1 : 3,Maghreb de Fes,Week # 24,Sunday 15 May 2022
185,18:17,Difaa Hassani El Jadidi,2 : 2,Ittihad Tanger,Week # 24,Monday 16 May 2022
186,20:32,Hassania Union Sport Agadir,2 : 2,Olympique Club de Safi,Week # 24,Monday 16 May 2022
187,18:20,Maghreb de Fes,1 : 1,Wydad Athletic Club,Week # 24,Wednesday 18 May 2022
188,17:30,Youssoufia Berrechid,0 : 1,FAR Rabat,Week # 24,Friday 20 May 2022
189,19:15,Wydad Athletic Club,1 : 0,Olympique Club De Khouribga,Week # 24,Sunday 22 May 2022
190,20:30,Ittihad Tanger,0 : 0,Renaissance de Berkane,Week # 24,Wednesday 25 May 2022
191,20:30,Mouloudia Oujda,2 : 1,Renaissance de Berkane,Week # 24,Sunday 29 May 2022
192,17:00,Ittihad Tanger,1 : 1,Fath Union Sport de Rabat,Week # 25,Wednesday 15 June 2022
193,19:14,JSS Jeunesse Sportive Soualem,1 : 1,Rapide Oued Zem,Week # 25,Wednesday 15 June 2022
194,19:20,Mouloudia Oujda,1 : 1,Youssoufia Berrechid,Week # 25,Wednesday 15 June 2022
195,21:31,Maghreb de Fes,1 : 1,Olympique Club de Safi,Week # 25,Wednesday 15 June 2022
196,21:34,Olympique Club De Khouribga,0 : 0,Chabab Mohammedia,Week # 25,Wednesday 15 June 2022
